generation,id,novelty,score,species,parent1,parent2
0,185,0.782017874088502,1.096384,10,-1,-1
1,373,0.4335613871554135,1.640331,3,17,83
2,516,0.4953682337632503,1.975357,6,333,289
3,660,0.39560084365523923,2.56075,6,516,515
4,865,0.3273161081307117,3.105547,6,507,694
5,889,0.4891363887675987,2.904394,3,723,544
6,889,0.45472307524768196,2.904394,3,723,544
7,1322,0.4649005278039864,2.842608,7,1091,1091
8,1593,0.34892887990121846,2.704091,7,1329,1315
9,1774,0.4081870955811738,2.453127,9,1524,1530
10,1934,0.3106280208808877,2.055303,6,1564,1564
11,2142,0.40002873151768714,2.558808,7,1916,1921
12,2326,0.4311806337153492,2.112849,7,1920,1920
13,2464,0.34478445849313705,2.157006,10,2259,2257
14,2658,0.3053930728394075,2.638944,7,2502,2503
15,2737,0.3280717371942208,3.200265,1,2555,2560
16,3005,0.4125813680586951,2.827078,7,2813,2503
17,3170,0.4425352660724396,3.097278,7,2503,2503
18,3366,0.39546754067877404,3.106699,3,3157,3163
19,3565,0.4271469273708722,2.917042,7,3351,3345
20,3726,0.43661824048238385,3.094167,6,3493,3493
21,3918,0.3664686434795379,3.327996,7,3657,3659
22,4038,0.38108992974383593,2.612786,7,3657,3657
23,4163,0.24228183282638385,3.430782,5,3992,3989
24,4394,0.35264961842754355,3.390176,6,4083,4083
25,4490,0.5301278587315041,2.487977,7,4369,4374
26,4796,0.486048714791278,3.896964,6,4584,4584
27,4877,0.34366527824362914,3.49359,5,4678,4668
28,5167,0.3554333667232087,3.070337,7,4899,4897
29,5341,0.48103223313203813,3.835926,7,4899,4899
30,5524,0.27344351463467315,2.978671,7,5341,5341
31,5697,0.33586139106591684,4.532559,7,5525,5525
32,5870,0.46074595466601226,3.340307,7,5525,5525
33,6062,0.4769114620752534,4.597645,7,5856,5853
34,6241,0.47488913227921326,4.079059,7,5852,6055
35,6420,0.5021698058420158,3.943831,7,6055,6242
36,6589,0.46833834096991905,2.419554,7,6415,6415
37,6774,0.4165071329567551,2.912576,6,6549,6549
38,6943,0.41692448688359696,3.155314,6,6760,6760
39,7086,0.4165953899340001,3.197905,7,6928,6928
40,7267,0.4355735270996614,5.944362,7,7087,6754
41,7469,0.28447737618693764,3.551643,7,7253,7266
42,7641,0.39831513606891783,4.11732,7,7455,7266
43,7828,0.34297297806422455,3.665241,7,7638,7462
44,7958,0.45330530775519273,4.985355,7,7266,7462
45,8088,0.39787661901980836,3.645888,10,7557,7557
46,8308,0.42416434573822515,3.66404,7,8174,8174
47,8420,0.31754569442091557,2.522987,1,8217,8210
48,8719,0.45184101182286257,2.763627,7,8306,8511
49,8767,0.2909655076832538,3.01446,5,8590,8604
50,9077,0.4150636693044772,2.605093,7,8898,8898
51,9210,0.4238829148205458,2.698512,8,8950,8950
52,9398,0.23192052087422924,3.230061,7,8898,9250
53,9620,0.29251312007468,3.252367,7,8898,8898
54,9546,0.3385040742135231,3.062583,10,9423,9034
55,9968,0.28920638569035045,3.707559,7,9405,9731
56,10131,0.28739807645053655,3.797972,7,9970,9731
57,10310,0.4358580935774572,2.653564,7,10121,10121
58,10463,0.3971819444351119,3.525605,6,10027,10224
59,10681,0.4664917589948348,3.615973,10,10294,10294
60,10681,0.3852307656086832,3.615973,10,10294,10294
61,11012,0.44671123000164126,3.792172,10,10844,10848
62,11129,0.22952868719815714,3.776406,7,10998,10388
63,11266,0.3051092742324795,3.939993,7,11125,11125
64,11462,0.22783721386120048,3.877807,7,10388,11272
65,10388,0.5019707018912329,2.854536,7,10121,10121
66,10388,0.5060447513966754,2.854536,7,10121,10121
67,10388,0.45152298587911505,2.854536,7,10121,10121
68,12186,0.30329548420279323,3.880404,7,12047,12047
