generation,id,fitness,species,parent1,parent2
0,3,1.527954,1,-1,-1
1,6,2.40948,1,1,3
2,9,1.586777,1,5,5
3,13,1.53459,1,9,9
4,20,1.54024,1,15,15
5,23,1.58389,1,18,18
6,26,1.573773,1,23,24
7,30,1.593969,1,26,28
8,34,1.555133,1,29,29
9,39,1.594403,1,34,34
10,42,1.564463,1,40,39
11,46,1.554067,1,44,42
12,51,1.554491,1,46,46
13,56,1.556731,1,49,49
14,59,1.544347,1,55,56
15,61,1.566147,1,59,60
16,67,1.527706,1,61,62
17,69,1.572046,1,67,67
18,73,1.568899,1,69,69
19,79,1.560659,1,73,73
20,81,1.551399,1,77,79
21,86,1.674867,1,84,81
22,90,1.971584,1,87,86
23,96,1.909581,1,90,90
24,97,1.984133,1,96,94
25,103,2.153173,1,100,97
26,105,1.868666,1,103,101
27,109,1.920404,1,106,105
28,114,1.913862,1,112,109
29,117,1.807197,1,114,114
30,123,1.533257,1,118,118
31,125,1.550285,1,123,123
32,132,1.499898,1,128,125
33,133,1.532393,1,130,132
34,140,1.538562,1,135,135
35,143,1.540439,1,140,140
36,145,1.542129,1,142,143
37,151,1.571385,1,145,145
38,154,1.534136,1,152,152
39,160,1.612765,1,156,156
40,163,1.527425,1,157,157
41,166,1.530141,1,162,162
42,172,1.532,1,167,166
43,176,1.633689,1,170,170
44,180,1.591009,1,175,176
45,181,2.643272,1,180,177
46,188,1.626496,1,184,184
47,189,1.568103,1,187,187
48,196,1.570565,1,189,192
49,200,1.599538,1,193,193
50,204,1.564895,1,197,200
51,207,1.558465,1,204,204
52,212,1.618622,1,207,207
53,213,1.593165,1,210,210
54,220,1.603271,1,216,213
55,224,1.667773,1,220,218
56,225,1.667738,1,224,224
57,230,1.607967,1,227,227
58,234,1.619893,1,230,230
59,239,1.781321,1,234,233
60,243,1.590254,1,239,239
61,246,1.818258,1,243,242
62,249,2.790857,1,246,246
63,253,1.591036,1,249,250
64,257,1.529128,1,253,253
65,263,1.546734,1,257,260
66,268,1.537507,1,263,261
67,270,1.524926,1,265,265
68,276,1.528138,1,271,270
69,279,1.559336,1,274,274
70,281,1.53672,1,280,280
71,286,1.538965,1,281,283
72,291,1.52909,1,286,285
73,295,1.527003,1,291,291
74,297,1.538063,1,294,295
75,304,1.526077,1,300,297
76,308,1.529455,1,304,304
77,311,1.52986,1,308,308
78,313,1.53573,1,312,312
79,318,1.520742,1,314,313
80,321,1.516437,1,318,320
81,328,1.524442,1,323,321
82,331,1.521973,1,328,327
83,333,1.523218,1,330,330
84,339,1.517356,1,336,336
85,343,1.524339,1,339,339
86,347,1.527898,1,342,342
87,349,1.854496,1,347,346
88,355,2.884881,1,349,351
89,360,1.5466,1,354,355
90,364,1.544409,1,358,358
91,365,1.534531,1,364,361
92,372,1.532035,1,367,367
93,375,1.554203,1,372,371
94,377,1.52281,1,375,375
95,382,1.531526,1,378,378
96,387,1.544798,1,382,382
97,389,1.503155,1,387,385
98,395,1.551094,1,389,392
99,397,3.016192,1,395,394
